Genus,Species,Brain_weight,Body_weight,log_brain-weight,EQ_Jerison,EQ_Stephan,Gen-distance,Comments
Alouatta,seniculus,49.4,4990,1.6937269489,1.4177861825,5.3884804682,110,
Alouatta,palliata,52.7,6896,1.7218106152,1.2193365687,4.6885338274,110,
Alouatta,villosa,65.5,7824,1.8162413,1.3932737194,5.3817539406,110,
Aotus,trivirgatus,17.1,830,1.2329961104,1.620723222,5.7745695975,107,
Ateles,geoffroyi,108.7,8082,2.0362295441,2.262771742,8.7505505678,113,
Ateles,belzebuth,118.4,8890,2.0733517024,2.3131398126,8.9760714471,113,
Callicebus,moloch,18.4,785,1.264817823,1.8098950221,6.4356534071,103,
Callicebus,cupreus,14,514,1.1461280357,1.8257669969,6.3938725995,103,
Callimico,goeldi,11,480,1.0413926852,1.5014289137,5.245095662,118,
Callithrix,jacchus,7.7,233,0.8864907252,1.7007889897,5.7889420586,119,
Callithrix,geoffroyi,19.9,793,1.2988530764,1.9442669223,6.9159791644,119,
Cebuella,pygmaea,4.2,120,0.6232492904,1.4432226447,4.7963162741,119,
Cebus,albifrons,71,3100,1.8512583487,2.7978872847,10.453053891,106,
Cebus,apella,69.5,2327,1.8419848046,3.3152567447,12.2587387834,106,
Cebus,capucinus,72.7,3354,1.8615344109,2.7184926805,10.1852663841,106,
Cercocebus,albigena,110,9200,2.0413926852,2.100529311,8.1611068089,106,
Cercocebus,torquatus,140,8660,2.1461280357,2.783299064,10.7903236553,106,
Cercocebus,galeritus,188.5,10700,2.2753113545,3.2550713498,12.7157588307,106,
Cercopithecus,mona,69.3,5300,1.8407332346,1.9106637296,7.2774988348,120,
Cercopithecus,ascanius,69.3,3950,1.8407332346,2.323904746,8.7582990942,120,
Cercopithecus,mitis,74.4,6367,1.8715729355,1.8153947681,6.9604399007,120,
Cercopithecus,aethiops,66.7,4324,1.8241258339,2.1059338313,7.9627037825,120,
Cercopithecus,pygerythrus,72.6,5670,1.8609366207,1.9136788516,7.3067121985,120,
Cercopithecus,lhoesti,93,8500,1.9684829486,1.8720123002,7.2525667264,120,
Cercopithecus,hamlyni,72.2,6000,1.8585371976,1.8327668406,7.0120437586,120,
Colobus,badius,78,7000,1.8920946027,1.7868087148,6.8742535291,66,
Erythrocebus,patas,108,7800,2.0334237555,2.3020115804,8.8909232981,123,
Gorilla,gorilla,480.3,114654,2.6815125866,1.7091419199,7.2717692898,86,
Homo,sapiens,1306,57333,3.1159431769,7.3733427494,30.597852336,93,
Hylobates,lar,99.7,5664,1.9986951583,2.6298672773,10.0408440528,34,
Hylobates,pileatus,103,5450,2.0128372247,2.7875066244,10.6279655032,34,
Hylobates,moloch,97.4,6228,1.9885589569,2.4118013873,9.2397887971,34,
Hylobates,agilis,87.5,7372,1.942008053,1.9364887553,7.4640064342,34,
Lagothrix,lagothrica,101,5200,2.0043213738,2.8202129396,10.7345038256,113,
Macaca,mulatta,93.8,6652,1.9722028384,2.2229792052,8.5366138088,101,
Macaca,sinica,84,8392,1.9242792861,1.7053111574,6.6036910146,101,
Macaca,nemestrina,122,8610,2.0863598307,2.4348178993,9.4373606736,101,
Macaca,fascicularis,70.8,5060,1.8500332577,2.0132039203,7.6552810539,101,
Macaca,arctoides,100.7,7630,2.0030294706,2.1781454749,8.4058516177,101,
Mandrillus,sphinx,179,32000,2.252853031,1.4901908738,6.0555173453,,
Miopithecus,talapoin,40,1200,1.6020599913,2.9658148502,10.7082503021,120,
Nasalis,larvatus,97,14000,1.9867717343,1.400455187,5.5240013953,77,
Pan,paniscus,359.8,45400,2.556061159,2.3729069862,9.7646949295,93,"from Rilling NeuroReport 10, 1453-1459 (1999)"
Pan,troglodytes,390,48893,2.591064607,2.4481897104,10.1014077683,93,
Papio,anubis,211.5,30000,2.3253103717,1.8380882974,7.4518943507,115,
Papio,papio,193,21800,2.285557309,2.0747417112,8.315194761,115,
Papio,ursinus,181,24490,2.2576785749,1.8006561884,7.2470014474,115,
Papio,cynocephalus,194,20865,2.2878017299,2.1472758355,8.5923281067,115,
Papio,hamadryas,160.5,14010,2.2054750367,2.3161463232,9.1361184027,115,
Pithecia,monachus,35,1500,1.5440680444,2.2367117529,8.1409157254,103,
Pongo,pygmaeus,351.7,63730,2.5461723683,1.8505382769,7.7086514178,52,
Presbytus,entellus,199.4,21319,2.299725154,2.175630805,8.7125394815,,
Presbytus,cristatus,81.7,16500,1.9122220565,1.0572957918,4.1951730442,,
Presbytus,obscurus,64.7,7030,1.8109042807,1.47791953,5.6867630606,,
Pygathrix,nemaeus,77,7500,1.8864907252,1.6846848785,6.4974782897,77,
Saguinas,midas,10.4,345,1.0170333393,1.7687423558,6.1059046382,118,
Saguinas,oedipus,9.7,383,0.9867717343,1.5387926554,5.3321114029,118,
Saguinas,tamarin,9.5,410,0.9777236053,1.4402182527,5.0027924225,118,
Saimiri,sciureus,24.2,648,1.383815366,2.7047377719,9.551373322,107,
Saimiri,oerstedii,24.2,753,1.383815366,2.4473082024,8.6891488859,107,
Symphalangus,syndactylus,131.5,11117,2.1189257528,2.2136897869,8.6595688409,,
