,"group","gapedistance_mm","protrusiondistance_mm","bodymass_g","adductormandibulaemass_g","sternohyoideusmass_g","levatorposteriormass_g","jawclosingleverratio","jawopeningleverratio","jawkt"
"Bolbometopon_muricatum","parrotfish",28.15,3.55,5920.1,55.984,14.356,31.181,0.52,0.21,0.57
"Calotomus_carolinus","parrotfish",18.47,1.2,467.4,1.277,1.182,1.7592,0.48,0.15,0.71
"Calotomus_spinidens","parrotfish",5.15,1.1,11.2,0.023,0.057,0.0679,0.45,0.14,0.87
"Cetoscarus_bicolor","parrotfish",21.48,1.94,1956.2,19.284,5.698,8.3376,0.48,0.2,0.54
"Chlorurus_bleekeri","parrotfish",10.13,1.9,207,1.961,0.39,0.5962,0.7,0.31,0.64
"Chlorurus_microrhinos","parrotfish",13.1,3.33,698,6.743,0.753,2.4333,0.54,0.28,0.49
"Chlorurus_sordidus","parrotfish",12.23,2.98,283.7,3.072,0.558,0.734,0.68,0.29,0.58
"Cryptotomus_roseus","parrotfish",1.83,0.13,1.7,0.004,0.005,0.0084,0.469,0.155,0.75
"Hipposcarus_longiceps","parrotfish",14.38,5.58,432.3,1.684,1.342,1.336,0.71,0.21,0.82
"Leptoscarus_vaigiensis","parrotfish",16.67,2.37,306.3,0.976,1.41,1.095,0.55,0.18,0.75
"Scarus_altipinnis","parrotfish",13.28,4.65,763.5,4.123,1.436,1.5935,0.95,0.34,0.82
"Scarus_chameleon","parrotfish",11.33,4.33,231.6,0.844,0.39,0.569,0.84,0.28,0.95
"Scarus_dimidiatus","parrotfish",8.05,2.9,183.5,1.284,0.439,0.3111,1,0.36,0.99
"Scarus_flavipectoralis","parrotfish",11.2,4.53,279.1,0.978,0.477,0.6013,0.93,0.27,1.01
"Scarus_forsteni","parrotfish",9.7,2.6,289,1.645,0.41,0.7898,1.03,0.29,0.94
"Scarus_frenatus","parrotfish",10.37,4.23,509.5,3.31,1.147,0.8967,0.97,0.38,0.74
"Scarus_ghobban","parrotfish",14.27,4.57,612,2.672,1.141,1.3002,0.87,0.37,0.85
"Scarus_globiceps","parrotfish",9,1.37,316.3,1.537,0.452,0.45,1,0.34,0.69
"Scarus_iseri","parrotfish",9.98,1.57,217.3,0.839,0.27,0.3436,0.886,0.192,0.749
"Scarus_niger","parrotfish",10.93,4.47,584,3.452,1.404,1.255,0.96,0.34,0.71
"Scarus_oviceps","parrotfish",10.9,5.08,551.5,4.739,1.19,0.8261,0.97,0.34,0.8
"Scarus_psittacus","parrotfish",10.27,4.53,287.8,0.933,0.365,0.5807,0.94,0.32,0.96
"Scarus_quoyi","parrotfish",11.03,3.77,262.3,1.258,0.724,0.441,0.93,0.28,0.81
"Scarus_rivulatus","parrotfish",10.6,5.07,418.8,2.389,1.041,1.083,1.04,0.39,0.86
"Scarus_rubroviolaceus","parrotfish",15.6,3.98,1242.8,9.328,2.319,3.754,0.94,0.31,0.73
"Scarus_schlegeli","parrotfish",11.23,3.77,415.1,1.348,0.668,0.897,0.94,0.31,0.97
"Scarus_spinus","parrotfish",8.73,4.13,307.9,2.337,0.514,0.4294,0.94,0.34,0.69
"Scarus_taeniopterus","parrotfish",13.43,4.1,538.3,1.82,0.618,0.8933,0.846,0.206,0.801
"Sparisoma_atomarium","parrotfish",3.77,0.37,7.1,0.019,0.02,0.0202,0.595,0.18,0.808
"Sparisoma_aurofrenatum","parrotfish",14.45,2.33,338.8,1.059,1.256,0.9268,0.683,0.178,0.692
"Sparisoma_chrysopterum","parrotfish",14.76,1.87,319.2,1,0.94,0.8453,0.593,0.191,0.765
"Sparisoma_radians","parrotfish",4.95,0.63,14.1,0.035,0.036,0.0451,0.64,0.199,0.783
"Sparisoma_rubripinne","parrotfish",22.28,0.53,839.5,2.582,2.128,2.2029,0.588,0.162,0.673
"Sparisoma_viride","parrotfish",20.89,4.2,837.5,4.064,2.864,2.2646,0.57,0.175,0.527
"Anampses_caeruleopunctatus","wrasse",7.87,5.23,153.7,0.212,0.769,0.031,0.15,0.3,0.47
"Anampses_geographicus","wrasse",5.6,7,91.3,0.224,0.478,0.0381,0.21,0.21,0.47
"Anampses_meleagrides","wrasse",4,2.55,27.6,0.043,0.158,0.013,0.29,0.31,0.57
"Anampses_neoguinaicus","wrasse",4.83,5.6,81.6,0.2,0.431,0.0267,0.25,0.26,0.47
"Bodianus_mesothorax","wrasse",7.9,3.93,61.5,0.272,0.33,0.5372,0.27,0.16,0.93
"Bodianus_perditio","wrasse",9.1,4.9,48.2,0.221,0.394,0.0981,0.2,0.11,0.62
"Bodianus_rufus","wrasse",17.62,10.54,484.2,2.249,2.667,1.1455,0.272,0.232,0.639
"Cheilinus_chlorourus","wrasse",11.77,6.33,137.3,0.942,1.373,0.676,0.32,0.16,0.87
"Cheilinus_fasciatus","wrasse",19.27,8.23,298.1,2.058,2.245,5.2517,0.35,0.18,0.68
"Cheilinus_oxycephalus","wrasse",7,4,36.5,0.11,0.182,0.067,0.3,0.17,1.34
"Cheilinus_trilobatus","wrasse",17.33,8.93,267.4,2.343,3.378,2.174,0.34,0.18,0.77
"Cheilinus_undulatus","wrasse",79.53,40.4,28850,174.543,327.567,117.7,0.39,0.25,0.75
"Cheilio_inermis","wrasse",22.43,5.5,325.3,3.436,1.511,0.6062,0.14,0.1,0.79
"Choerodon_anchorago","wrasse",16.63,5.83,362.6,2.716,2.187,2.783,0.41,0.2,0.59
"Choerodon_cephalotes","wrasse",20.4,9.5,300,0.858,2.028,0.649,0.3,0.15,0.54
"Choerodon_fasciatus","wrasse",12.08,4.1,151.1,0.934,0.854,0.5311,0.34,0.21,0.79
"Choerodon_schoenleinii","wrasse",15.27,7.9,283.2,1.111,1.55,1.1114,0.32,0.16,0.68
"Choerodon_venustus","wrasse",32.77,17.53,1135,7.087,9.353,5.0731,0.3,0.17,0.53
"Clepticus_parrae","wrasse",7.6,0.53,134.6,0.082,0.366,0.0048,0.33,0.171,0.661
"Coris_aurilineata","wrasse",4.13,2.37,12.2,0.032,0.067,0.011,0.32,0.24,0.69
"Coris_aygula","wrasse",13.43,9.25,325.8,0.755,1.257,2.358,0.25,0.17,0.64
"Coris_batuensis","wrasse",6.13,2.2,55.2,0.167,0.221,0.1002,0.31,0.17,0.75
"Coris_dorsomacula","wrasse",4.97,3.03,20.3,0.05,0.092,0.0291,0.25,0.17,0.84
"Coris_gaimard","wrasse",9.63,6.6,228.4,0.66,0.841,0.7542,0.31,0.19,0.87
"Coris_pictoides","wrasse",3.73,1.7,7.1,0.018,0.044,0.0057,0.27,0.21,0.69
"Cymolutes_praetextatus","wrasse",4.57,1.27,10.5,0.088,0.056,0.005,0.31,0.18,1.13
"Cymolutes_torquatus","wrasse",5.48,1.53,9.3,0.063,0.028,0.0038,0.32,0.17,1.07
"Diproctacanthus_xanthurus","wrasse",2.36,1.38,4.5,0.012,0.026,0.0001,0.2,0.28,0.75
"Epibulus_insidiator","wrasse",16.4,48.6,472.6,0.821,3.025,0.314,0.23,0.23,1.02
"Gomphosus_varius","wrasse",8,12.4,104.3,0.676,0.63,0.141,0.17,0.08,0.97
"Halichoeres_maculipinna","wrasse",5,1.57,32.1,0.052,0.167,0.0191,0.27,0.22,0.69
"Halichoeres_biocellatus","wrasse",5.43,2.33,24.6,0.044,0.121,0.038,0.17,0.11,0.69
"Halichoeres_bivittatus","wrasse",5.04,1.2,25.6,0.092,0.115,0.0536,0.31,0.194,0.78
"Halichoeres_chloropterus","wrasse",5.87,4.1,63,0.204,0.25,0.108,0.29,0.18,0.73
"Halichoeres_chrysus","wrasse",3.7,0.73,10.9,0.01,0.031,0.007,0.18,0.17,0.73
"Halichoeres_garnoti","wrasse",6.19,2.1,66.4,0.201,0.245,0.1194,0.309,0.202,0.7
"Halichoeres_hortulanus","wrasse",8.93,6.45,214.3,0.815,1.002,1.19,0.3,0.19,0.88
"Halichoeres_margaritaceus","wrasse",5.47,2.77,26.1,0.061,0.162,0.0291,0.22,0.2,0.71
"Halichoeres_marginatus","wrasse",4.35,2.95,52,0.074,0.185,0.0183,0.35,0.22,0.83
"Halichoeres_melanurus","wrasse",3.5,2.6,11.4,0.017,0.043,0.0093,0.19,0.17,0.93
"Halichoeres_melasmapomus","wrasse",2.85,2,4.2,0.006,0.013,0.013,0.29,0.15,0.9
"Halichoeres_miniatus","wrasse",4.07,2.37,12.9,0.047,0.08,0.012,0.25,0.2,0.8
